sample,gene,drug_class,gene_family,mechanism,all_mapped_reads,avg_pct_coverage
SRR12619561,ErmG,macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,2.0,40.82
SRR12619561,ErmG,lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,2.0,40.82
SRR12619561,ErmG,streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,2.0,40.82
SRR12619561,ErmG,streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,2.0,40.82
SRR12619561,ErmG,streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,2.0,40.82
SRR12619561,sul1,sulfonamide antibiotic,sulfonamide resistant sul,antibiotic target replacement,1.0,16.67
SRR12619561,APH(6)-Id,aminoglycoside antibiotic,APH(6),antibiotic inactivation,2.0,35.84
SRR12619561,ANT(6)-Ib,aminoglycoside antibiotic,ANT(6),antibiotic inactivation,22.0,83.22
SRR12619561,acrB,fluoroquinolone antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,acrB,cephalosporin,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,acrB,glycylcycline,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,acrB,penicillin beta-lactam,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,acrB,tetracycline antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,acrB,rifamycin antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,acrB,phenicol antibiotic,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,acrB,disinfecting agents and antiseptics,resistance-nodulation-cell division (RND) antibiotic efflux pump,antibiotic efflux,4.0,4.95
SRR12619561,tet(H),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,18.0,77.81
SRR12619561,mel,macrolide antibiotic,msr-type ABC-F protein,antibiotic target protection,30.0,79.06
SRR12619561,mel,streptogramin antibiotic,msr-type ABC-F protein,antibiotic target protection,30.0,79.06
SRR12619561,aadA15,aminoglycoside antibiotic,ANT(3''),antibiotic inactivation,4.0,28.03
SRR12619561,tet(44),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,78.0,100.0
SRR12619561,EreD,macrolide antibiotic,macrolide esterase,antibiotic inactivation,6.0,29.18
SRR12619561,mef(B),macrolide antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,4.0,16.75
SRR12619561,SAT-2,nucleoside antibiotic,streptothricin acetyltransferase (SAT),antibiotic inactivation,1.0,28.57
SRR12619561,tet(Q),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,72.0,99.54
SRR12619561,tet(32),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,2.0,8.18
SRR12619561,APH(3')-IIIa,aminoglycoside antibiotic,APH(3'),antibiotic inactivation,24.0,100.0
SRR12619561,Erm(35),macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,94.13
SRR12619561,Erm(35),lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,94.13
SRR12619561,Erm(35),streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,94.13
SRR12619561,Erm(35),streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,94.13
SRR12619561,Erm(35),streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,14.0,94.13
SRR12619561,tet(K),tetracycline antibiotic,major facilitator superfamily (MFS) antibiotic efflux pump,antibiotic efflux,2.0,21.74
SRR12619561,ErmB,macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,28.0,99.87
SRR12619561,ErmB,lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,28.0,99.87
SRR12619561,ErmB,streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,28.0,99.87
SRR12619561,ErmB,streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,28.0,99.87
SRR12619561,ErmB,streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,28.0,99.87
SRR12619561,aad(6),aminoglycoside antibiotic,ANT(6),antibiotic inactivation,8.0,47.77
SRR12619561,SAT-4,nucleoside antibiotic,streptothricin acetyltransferase (SAT),antibiotic inactivation,6.0,83.24
SRR12619561,vgaE,lincosamide antibiotic,vga-type ABC-F protein,antibiotic target protection,8.0,55.62
SRR12619561,vgaE,streptogramin antibiotic,vga-type ABC-F protein,antibiotic target protection,8.0,55.62
SRR12619561,vgaE,streptogramin A antibiotic,vga-type ABC-F protein,antibiotic target protection,8.0,55.62
SRR12619561,vgaE,pleuromutilin antibiotic,vga-type ABC-F protein,antibiotic target protection,8.0,55.62
SRR12619561,vanR gene in vanG cluster,glycopeptide antibiotic,glycopeptide resistance gene cluster; vanR,antibiotic target alteration,2.0,12.57
SRR12619561,catQ,phenicol antibiotic,chloramphenicol acetyltransferase (CAT),antibiotic inactivation,2.0,22.73
SRR12619561,tet(S),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,6.0,31.57
SRR12619561,mphB,macrolide antibiotic,macrolide phosphotransferase (MPH),antibiotic inactivation,26.0,95.16
SRR12619561,aadA24,aminoglycoside antibiotic,ANT(3''),antibiotic inactivation,1.0,18.97
SRR12619561,ANT(4')-Ia,aminoglycoside antibiotic,ANT(4'),antibiotic inactivation,14.0,84.91
SRR12619561,Erm(33),macrolide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,16.0,44.54
SRR12619561,Erm(33),lincosamide antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,16.0,44.54
SRR12619561,Erm(33),streptogramin antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,16.0,44.54
SRR12619561,Erm(33),streptogramin A antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,16.0,44.54
SRR12619561,Erm(33),streptogramin B antibiotic,Erm 23S ribosomal RNA methyltransferase,antibiotic target alteration,16.0,44.54
SRR12619561,tet(M),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,228.0,100.0
SRR12619561,tet(36),tetracycline antibiotic,tetracycline-resistant ribosomal protection protein,antibiotic target protection,90.0,99.32
SRR12619561,APH(3'')-Ib,aminoglycoside antibiotic,APH(3''),antibiotic inactivation,8.0,95.77
SRR12619561,vgaB,streptogramin antibiotic,vga-type ABC-F protein,antibiotic target protection,4.0,9.34
SRR12619561,vgaB,streptogramin A antibiotic,vga-type ABC-F protein,antibiotic target protection,4.0,9.34
SRR12619561,vgaB,pleuromutilin antibiotic,vga-type ABC-F protein,antibiotic target protection,4.0,9.34
SRR12619561,linG,lincosamide antibiotic,lincosamide nucleotidyltransferase (LNU),antibiotic inactivation,4.0,46.47
